rule_id,canonical,scope,defect_code,material,inspection_method,thickness_min,thickness_max,quality_scheme,quality_level,limit_type,limit_rule,limit_value,limit_factor,limit_cap,ratio_basis,limit_op,unit,clause_id,source_doc,source_page,source_table_id,source_row_label,limit_expr,note,restated_from,filled_h,filled_v,extraction_path,verified_by,verified_date
KRA27-T15-01,true,active,2011,ST,RT,0,10.01,none,ALL,직경,const,4,,,,le,mm,KRA27-T15,KR-RULES-P2,328,표15,최대결함크기/t≤10,t ≤ 10 → 4,제1종(둥근 블로우홀). 원문 폐구간 t≤10을 반열림 [0~10.01)로 환산. 비고: t≤25에서 결함길이 0.5mm 이하 무시. 결함점수(누적) 기준은 스키마 표현 불가로 별도 excluded 목록 참조,,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
KRA27-T15-02,true,active,2011,ST,RT,10.01,25.01,none,ALL,직경,const,5,,,,le,mm,KRA27-T15,KR-RULES-P2,328,표15,최대결함크기/10<t≤25,10∠t≤25 → 5,원문 ∠는 <의 조판 표기. 폐구간 (10~25]를 [10.01~25.01)로 환산. 비고: 결함길이 0.5mm 이하 무시,,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
KRA27-T15-03,true,active,2011,ST,RT,25.01,50.01,none,ALL,직경,prop_t,,0.2,,t,le,mm,KRA27-T15,KR-RULES-P2,328,표15,최대결함크기/25<t≤50,25∠t≤50 → t/5,t/5 = prop_t factor 0.2. 비고: t>25에서 결함길이 0.7mm 이하 무시,,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
KRA27-T15-04,true,active,2011,ST,RT,50.01,100.01,none,ALL,직경,const,10,,,,le,mm,KRA27-T15,KR-RULES-P2,328,표15,최대결함크기/50<t≤100,50∠t≤100 → 10,비고: 결함길이 0.7mm 이하 무시. t>100 구간은 표에 없음(커버리지 공백),,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
KRA27-T16-01,true,active,301,ST,RT,0,12.01,none,ALL,길이,const,6,,,,le,mm,KRA27-T16,KR-RULES-P2,328,표16,합계길이/t≤12,t ≤ 12 → 6 이하,제2종(슬래그혼입 등). 합계길이 기준 — 단일 결함이면 자기 길이. 복수 결함 합산·군집 간격 규칙은 기계 미해석 단서,,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
KRA27-T16-02,true,active,301,ST,RT,12.01,50.01,none,ALL,길이,prop_t,,0.5,,t,le,mm,KRA27-T16,KR-RULES-P2,328,표16,합계길이/12<t≤50,12∠t≤50 → t/2 이하,t/2 = prop_t factor 0.5. 합계길이 단서 동일,,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
KRA27-T16-03,true,active,301,ST,RT,50.01,,none,ALL,길이,const,24,,,,le,mm,KRA27-T16,KR-RULES-P2,328,표16,합계길이/50<t,50∠t → 24 이하,상한 공란 = +∞. 합계길이 단서 동일,,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
KRA27-T16-04,true,active,401,ST,RT,0,12.01,none,ALL,길이,const,6,,,,le,mm,KRA27-T16,KR-RULES-P2,328,표16,합계길이/t≤12,t ≤ 12 → 6 이하,제2종에 융합불량 명시 포함. 합계길이 단서 동일,,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
KRA27-T16-05,true,active,401,ST,RT,12.01,50.01,none,ALL,길이,prop_t,,0.5,,t,le,mm,KRA27-T16,KR-RULES-P2,328,표16,합계길이/12<t≤50,12∠t≤50 → t/2 이하,합계길이 단서 동일,,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
KRA27-T16-06,true,active,401,ST,RT,50.01,,none,ALL,길이,const,24,,,,le,mm,KRA27-T16,KR-RULES-P2,328,표16,합계길이/50<t,50∠t → 24 이하,합계길이 단서 동일,,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
KRA27-3D-01,true,active,100,ST,RT,0,,none,ALL,불허,none_permitted,,,,,le,,KRA27-3D,KR-RULES-P2,328,본문(d),제3종 결함,제3종 결함은 모두 불합격으로 판정한다,제3종(터짐=균열). 크기 무관 불합격,,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
KRA27-S-01,true,active,2011,ST,VT,0,,none,ALL,직경,prop_t_cap,,0.25,3,t,le,mm,KRA27-S,KR-RULES-P2,327,표면결함표,표면 기공,d≤0.25t (필릿 d≤0.25a) 단 최대지름 3mm 인접 기공간 거리 2.5d 이상,"표면결함 기준(VT). 게이트 #13 의 inspection_method 축 신설로 표15(RT 내부)와 분리 표현이 가능해져 active 로 승격했다. 주 실험은 RT 이므로 행 선택 기본 필터 {RT, ALL} 에서는 선택되지 않는다. 인접 간격 단서 기계 미해석. thickness_min=0 이라 t 하단에서 유효 한계가 0.1mm 미만 — V10 실현성 경보 대상",,false,false,M,agent-B(파일럿·이중검수 미실시),2026-08-17
